target,check,status,detail
vouchers,parse,ok,alrajhi_client/views/widgets/vouchers_widget.py
vouchers,marker:UnifiedInlineWorkspaceMixin,ok,UnifiedInlineWorkspaceMixin
vouchers,marker:_install_unified_inline_workspace,ok,_install_unified_inline_workspace
vouchers,marker:_connect_selection_preview,ok,_connect_selection_preview
vouchers,marker:_update_detail_preview,ok,_update_detail_preview
vouchers,marker:_show_inline_voucher_editor,ok,_show_inline_voucher_editor
vouchers,marker:_show_unified_inline_editor,ok,_show_unified_inline_editor
vouchers,no_legacy_full_page_stack:self.stack = QStackedWidget,ok,self.stack = QStackedWidget
vouchers,no_legacy_full_page_stack:self.list_page = QWidget,ok,self.list_page = QWidget
vouchers,no_legacy_full_page_stack:self.stack.addWidget(self.list_page),ok,self.stack.addWidget(self.list_page)
vouchers,no_legacy_full_page_stack:self.stack.setCurrentWidget(self.editor_page),ok,self.stack.setCurrentWidget(self.editor_page)
vouchers,add_voucher:no_open_quick_voucher,ok,"_show_inline_voucher_editor,require,show_toast,str,tr"
vouchers,add_voucher:no_open_tab,ok,"_show_inline_voucher_editor,require,show_toast,str,tr"
vouchers,add_voucher:no_open_document_tab,ok,"_show_inline_voucher_editor,require,show_toast,str,tr"
vouchers,edit_voucher:no_open_quick_voucher,ok,"_show_inline_voucher_editor,current_source_row,get,get_id,hasattr,row,show_toast,tr"
vouchers,edit_voucher:no_open_tab,ok,"_show_inline_voucher_editor,current_source_row,get,get_id,hasattr,row,show_toast,tr"
vouchers,edit_voucher:no_open_document_tab,ok,"_show_inline_voucher_editor,current_source_row,get,get_id,hasattr,row,show_toast,tr"
vouchers,inline_type:receipt,ok,receipt
vouchers,inline_type:payment,ok,payment
vouchers,inline_type:expense,ok,expense
customers,shared_structure:PartyInlineEditorHostMixin,ok,PartyInlineEditorHostMixin
customers,shared_structure:_install_party_inline_host,ok,_install_party_inline_host
suppliers,shared_structure:PartyInlineEditorHostMixin,ok,PartyInlineEditorHostMixin
suppliers,shared_structure:_install_party_inline_host,ok,_install_party_inline_host
