path,line,classification,reason,snippet
alrajhi_client/views/apparel/apparel_workspace_widget.py,237,legacy_local_style,direct local stylesheet should be migrated to central QSS or visualRole,"root.addWidget(self.table, 1)  self.setStyleSheet("""""" QFrame#apparelHeaderCard, QFrame#apparelControlCard, QFrame#apparelSummaryCard, QFrame#apparelReportsCard, QFrame#apparelBulkBuilderCard, QFrame#apparelMatrixCard { border: 1px solid palette(mid);"
alrajhi_client/views/custom_table_view.py,361,tokenized_local_style,uses ThemeManager/BRAND or runtime visual properties, def refresh_style(self): self.setStyleSheet(ThemeManager.get_stylesheet()) self.viewport().update() 
alrajhi_client/views/dialogs/activation_dialog.py,60,tokenized_local_style,uses ThemeManager/BRAND or runtime visual properties,"self.main_frame.setProperty('basitFirstRunChrome', True) self.main_frame.setProperty('basitDialogSurface', 'activation') self.main_frame.setStyleSheet(ThemeManager.get_stylesheet()) apply_first_run_surface(self.main_frame, 'activation') try:"
alrajhi_client/views/dialogs/activation_dialog.py,124,tokenized_local_style,uses ThemeManager/BRAND or runtime visual properties," self.status_label = QLabel(translate('phase233_ui_010')) self.status_label.setStyleSheet(f""color: {ThemeManager.get('text_muted')}; font-size: 12px;"") self.status_label.setWordWrap(True) self.status_label.setAlignment(Qt.AlignCenter)"
alrajhi_client/views/dialogs/activation_dialog.py,152,tokenized_local_style,uses ThemeManager/BRAND or runtime visual properties,"def _set_status(self, text, color_key='text_muted'): self.status_label.setText(text) self.status_label.setStyleSheet(f""color: {ThemeManager.get(color_key)}; font-size: 12px;"")  def _activate(self):"
alrajhi_client/views/dialogs/invoice_dialog.py,599,legacy_local_style,direct local stylesheet should be migrated to central QSS or visualRole,"c = ThemeManager.colors() accent = self._invoice_accent() self.setStyleSheet(f"""""" QDialog {{ background: {c['bg_window']}; color: {c['text_primary']}; }} QLabel#DialogTitle {{ color: {c['primary']}; font-size: 21px; font-weight: 900; }}"
alrajhi_client/views/dialogs/invoice_dialog.py,932,legacy_local_style,direct local stylesheet should be migrated to central QSS or visualRole,"separator = QFrame() separator.setFrameShape(QFrame.HLine) separator.setStyleSheet(""background-color: #e2e8f0;"") right_layout.addWidget(separator) "
alrajhi_client/views/dialogs/item_dialog.py,268,legacy_local_style,direct local stylesheet should be migrated to central QSS or visualRole,"c = ThemeManager.colors() accent = c['primary'] self.setStyleSheet(self.styleSheet() + f"""""" QDialog {{ background: {c['bg_window']};"
alrajhi_client/views/dialogs/login_dialog.py,51,branded_startup_allowed,startup/login surfaces already have dedicated branded contracts,"self.main_frame.setProperty('loginPasswordPolicy', 'password_row_visible_fixed') self._stabilize_horizontal_login_chrome() self.main_frame.setStyleSheet(ThemeManager.get_stylesheet()) apply_first_run_surface(self.main_frame, 'login') try:"
alrajhi_client/views/dialogs/login_dialog.py,172,branded_startup_allowed,startup/login surfaces already have dedicated branded contracts,"self.options_panel.setMaximumHeight(int(BRAND.get('login_options_runtime_max_height', 62))) self.remember_check = QCheckBox(translate('remember_user')) self.remember_check.setStyleSheet(f""color: {ThemeManager.get('text_secondary')};"") options_layout.addWidget("
alrajhi_client/views/dialogs/login_dialog.py,333,branded_startup_allowed,startup/login surfaces already have dedicated branded contracts,"self.error_label.setText(translate('stored_user_cleared')) self.error_label.setProperty('messageState', 'success') self.error_label.setStyleSheet(f""color: {ThemeManager.get('success')};"") self.error_label.style().unpolish(self.error_label); self.error_label.st"
alrajhi_client/views/dialogs/login_dialog.py,394,branded_startup_allowed,startup/login surfaces already have dedicated branded contracts,"def _set_error(self, text): self.error_label.setProperty('messageState', 'danger') self.error_label.setStyleSheet(f""color: {ThemeManager.get('danger')};"") self.error_label.setText(text) self.error_label.style().unpolish(self.error_label); self.error_label.styl"
